P,v,D4,depth,length,width
4.89155636e+01,1.70015597e-01,8.73915666e-05,2.51666667e-05,1.89833333e-04,1.62888889e-04
4.93485308e+01,1.14694881e-01,7.78349963e-05,3.05925926e-05,1.81037037e-04,1.65259259e-04
4.90184407e+01,1.76834565e-01,7.37369582e-05,2.28235294e-05,1.72941176e-04,1.47176471e-04
4.85324376e+01,1.32057673e-01,9.35914087e-05,3.23913043e-05,1.98173913e-04,1.75217391e-04
4.85494566e+01,1.90765774e-01,7.31768347e-05,2.19375000e-05,1.71250000e-04,1.43750000e-04
4.90002358e+01,1.49608409e-01,9.41005063e-05,2.96190476e-05,1.98238095e-04,1.72476190e-04
4.93502801e+01,1.62431926e-01,8.69409484e-05,2.61578947e-05,1.89157895e-04,1.63684211e-04
4.89070200e+01,1.03687280e-01,7.82194534e-05,3.31034483e-05,1.83034483e-04,1.68965517e-04
4.88094780e+01,1.73106241e-01,9.93007427e-05,2.72777778e-05,2.01333333e-04,1.71555556e-04
4.98591746e+01,1.17782521e-01,7.52422121e-05,2.95769231e-05,1.77846154e-04,1.62538462e-04
4.92841722e+01,1.79946572e-01,8.33023915e-05,2.38823529e-05,1.84058824e-04,1.57411765e-04
4.83420442e+01,1.35172778e-01,8.95923960e-05,3.05652174e-05,1.92913043e-04,1.71304348e-04
4.81934820e+01,1.55488449e-01,8.00346929e-05,2.48500000e-05,1.79350000e-04,1.57800000e-04
4.91731900e+01,1.09643489e-01,8.53600991e-05,3.43571429e-05,1.91857143e-04,1.74928571e-04
4.95820565e+01,1.97466719e-01,9.60352713e-05,2.39375000e-05,1.98937500e-04,1.65875000e-04
4.87542312e+01,1.43409479e-01,7.10076838e-05,2.38571429e-05,1.69142857e-04,1.49904762e-04
4.89639279e+01,1.86508566e-01,9.11754769e-05,2.40000000e-05,1.92058824e-04,1.63647059e-04
4.95020943e+01,1.29622442e-01,8.14849249e-05,2.96250000e-05,1.84750000e-04,1.65333333e-04
4.91070427e+01,1.66786778e-01,7.74091312e-05,2.37222222e-05,1.77277778e-04,1.52888889e-04
4.86294659e+01,1.23575580e-01,9.73682094e-05,3.52800000e-05,2.04360000e-04,1.82960000e-04
4.85705234e+01,1.62923288e-01,8.68352568e-05,2.58421053e-05,1.87473684e-04,1.63473684e-04
