P,v,D4
49.7476362300222,0.118865793943405,9.27990430593491e-05
49.226165007767,0.181799125671387,8.87156820297241e-05
47.9062856093836,0.128034949302673,7.8557753264904e-05
48.3177868038171,0.157719051837921,9.19834458827972e-05
49.2958651129358,0.102102458663285,8.27899894118309e-05
50.032402246539,0.189181345701218,7.56379988789558e-05
48.7775410207448,0.144895929098129,9.70336323976517e-05
48.8565509636626,0.175281381607056,8.06073132157326e-05
49.4161038870662,0.133635640144348,8.6431764960289e-05
49.0689317388881,0.171568733453751,9.44994831085205e-05
