P,v,D4
48.9775640267514,0.140324902534485,8.20672646164894e-05
48.7359295601909,0.183370608091354,9.56432610750198e-05
49.6091213259034,0.126487535238266,7.14507489651442e-05
49.1665417526967,0.163627457618713,7.95331439375877e-05
48.2061629173749,0.120413160324097,8.59277760982513e-05
48.3837372459452,0.18760951757431,8.37676483392715e-05
49.2714930534805,0.146442949771881,8.91932761669159e-05
49.900158106341,0.159290927648544,9.98755294084549e-05
48.8083187497169,0.100555390305817,7.47184804081917e-05
48.9155636426325,0.170015597343445,8.73915666341782e-05
