P,v,D4
49.3485307833762,0.114694881439209,7.78349962830543e-05
49.0184406662193,0.176834565401077,7.37369582056999e-05
48.5324375784215,0.132057672739029,9.35914087295532e-05
48.5494565503094,0.190765774250031,7.31768347322941e-05
49.0002357637622,0.149608409404755,9.41005063056946e-05
49.3502801271445,0.162431925535202,8.69409483671188e-05
48.9070199559349,0.103687280416489,7.8219453394413e-05
48.8094779985569,0.173106241226196,9.93007427453995e-05
49.8591746094618,0.117782521247864,7.52422121167183e-05
49.2841722323057,0.179946571588516,8.33023914694786e-05
