P,v,D4
48.3420442109678,0.135172778367996,8.95923960208893e-05
48.1934820241213,0.155488449335098,8.00346928834915e-05
49.1731899739168,0.109643489122391,8.53600990772247e-05
49.5820565146605,0.197466719150543,9.60352712869644e-05
48.754231167551,0.143409478664398,7.10076837986708e-05
48.9639279181585,0.186508566141129,9.11754769086838e-05
49.5020943069357,0.129622441530228,8.14849248528481e-05
49.1070427029635,0.166786777973175,7.74091312289238e-05
48.62946586669,0.123575580120087,9.736820936203e-05
48.5705234352262,0.162923288345337,8.68352568149567e-05
